price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
6800000.0,1150,2,2,1,5,1,1,1,2,2,1,Beninganahalli,0,0,0,0,0,1,1,1,0,1,1,0,0,0
6000000.0,1080,2,2,0,4,1,0,2,2,2,0,Beninganahalli,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4100000.0,950,2,2,1,3,1,1,2,1,2,1,Beninganahalli,1,0,0,0,0,0,1,1,0,1,0,0,0,0
10000000.0,3200,4,8,3,1,1,1,2,6,0,0,Beninganahalli,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9400000.0,976,2,2,1,5,1,1,3,3,2,1,Beninganahalli,0,0,1,0,0,0,0,1,0,1,0,0,0,1
4000000.0,1026,2,2,1,4,1,1,2,3,2,1,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8500000.0,1210,2,2,2,4,1,3,3,3,2,1,Beninganahalli,0,0,1,0,0,0,1,1,0,1,0,0,0,1
7000000.0,1100,2,2,0,3,1,0,2,1,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13000000.0,1359,2,2,2,4,1,1,2,1,2,1,Beninganahalli,1,1,1,1,1,0,1,1,1,1,1,0,1,0
4500000.0,1025,2,2,1,3,1,1,3,3,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7200000.0,1230,2,2,3,3,1,1,2,2,2,1,Beninganahalli,0,0,0,0,0,0,1,1,0,1,0,0,0,1
6000000.0,1080,2,2,0,4,1,0,2,2,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7000000.0,1150,2,2,0,5,1,0,2,1,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9500000.0,1645,3,3,1,4,1,0,3,5,2,1,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0
24000000.0,2615,4,4,3,3,1,3,2,3,2,1,Benson Town,0,0,1,0,0,0,0,1,0,1,0,0,0,1
6200000.0,1010,2,2,1,4,1,1,2,2,2,0,Benson Town,0,0,0,0,0,0,0,1,0,0,1,0,0,1
13000000.0,1700,4,3,0,3,1,0,2,3,2,0,Benson Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000000.0,4995,4,5,0,4,1,0,2,5,2,1,Benson Town,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20000000.0,2650,3,3,1,4,1,3,2,1,1,1,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0
72000000.0,4292,4,5,0,4,1,0,2,1,2,1,Benson Town,0,1,0,0,1,0,0,1,1,0,0,0,1,1
15000000.0,2000,4,4,2,3,1,0,3,0,2,0,Benson Town,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8000000.0,1200,2,2,3,4,1,3,2,3,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8500000.0,1300,3,2,1,4,1,3,2,2,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20000000.0,2400,4,3,2,4,1,3,3,3,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8500000.0,1175,2,2,1,4,1,1,2,5,1,1,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5000000.0,930,2,2,2,4,1,1,2,2,2,1,Benson Town,0,0,0,0,0,0,1,1,0,1,1,0,0,1
30000000.0,2615,4,4,3,3,1,3,2,3,2,1,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9900000.0,1280,3,3,5,5,1,1,2,5,1,0,Benson Town,0,0,0,0,0,0,1,1,0,0,0,0,0,1
50000000.0,3500,3,4,2,4,1,3,3,5,2,1,Benson Town,1,1,1,0,1,1,0,1,1,1,1,1,1,1
8200000.0,1350,3,3,1,0,1,1,2,4,1,0,Benson Town,1,1,0,0,0,0,0,1,0,0,0,0,0,1
11000000.0,2600,4,4,4,4,1,0,2,1,3,0,Benson Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000.0,1175,2,2,1,4,1,0,2,5,1,1,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,1
45000000.0,3000,3,5,0,4,1,0,2,2,2,1,Benson Town,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6200000.0,900,2,2,0,3,1,0,1,2,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8500000.0,1200,3,2,0,4,1,0,2,0,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4600000.0,750,2,2,2,1,1,1,2,0,0,1,Benson Town,0,1,0,0,0,0,0,1,0,1,0,0,0,1
70000000.0,4400,4,5,4,4,1,3,3,4,1,0,Benson Town,1,1,1,0,1,1,1,1,1,0,1,1,1,1
20000000.0,3500,3,3,0,4,1,0,2,2,2,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5200000.0,1225,2,2,2,4,1,1,2,1,2,1,Bommanahalli,1,1,1,0,1,1,1,1,1,1,1,0,1,1
7800000.0,1126,2,2,2,3,1,5,2,3,1,1,Bommanahalli,0,0,0,0,1,0,1,1,0,1,0,0,0,1
5700000.0,1125,2,2,3,4,1,1,2,2,1,1,Bommanahalli,1,1,0,0,1,1,1,1,0,1,1,0,1,1
3900000.0,980,2,2,2,3,1,1,2,3,2,0,Bommanahalli,1,0,0,0,0,0,1,1,1,0,0,0,0,1
5700000.0,1075,2,2,2,0,1,1,1,1,1,1,Bommanahalli,0,0,0,0,0,0,0,1,0,1,1,0,0,0
11200000.000000002,1760,3,3,3,3,1,1,3,2,2,1,Bommanahalli,0,0,0,0,1,0,0,0,0,1,0,0,0,0
